o_coral_cover,o_region,o_region_sub,o_jurisdiction,o_habitat,o_ocean,o_lat,o_long,o_depth,o_human_pop50,o_land_area50,o_storm_30yr,o_l_att_mean,o_l_att_sd,o_npp_mean,o_npp_sd,o_sst_mean,o_sst_sd,o_wave_mean,o_wave_sd
7,SWPRICO,SWPRICO,PRICO,PVMT,CARIB,17.8708212,-66.495211,14.1732,13.4617072,7.938541095,1,0.04715341,0.011361074,788.1501792,132.119265,27.86814,1.079979166,2.531576699,0.693628262
3.03030303,SWPRICO,SWPRICO,PRICO,SCR,CARIB,17.8858116,-66.502076,9.906,13.59840748,8.088934431,1,0.06433118,0.013908379,788.1501792,132.119265,27.89009,1.096488486,1.560275823,0.427892485
1,EPRICO,EPRICO,PRICO,BDRK,CARIB,18.3147826,-65.351824,16.6116,12.07284978,6.534088025,2,0.04888646,0.008240146,1036.746995,157.277589,27.5978,1.101409097,4.227114908,2.374803089
0,EPRICO,EPRICO,PRICO,PVMT,CARIB,18.3146984,-65.323956,18.5928,12.07284978,6.534088025,2,0.04716892,0.008613942,1036.746995,157.277589,27.5978,1.101409097,4.227114908,2.374803089
0,EPRICO,EPRICO,PRICO,BDRK,CARIB,18.3170557,-65.352721,12.6492,12.07284978,6.534088025,2,0.04888646,0.008240146,1036.746995,157.277589,27.5978,1.101409097,4.227114908,2.374803089
0.99009901,EPRICO,EPRICO,PRICO,BDRK,CARIB,18.3179396,-65.351758,13.1064,12.07284978,6.534088025,2,0.04888646,0.008240146,1036.746995,157.277589,27.5978,1.101409097,4.227114908,2.374803089
0,EPRICO,EPRICO,PRICO,PVMT,CARIB,18.3216905,-65.335618,17.0688,12.07284978,6.534088025,2,0.04888646,0.008240146,1036.746995,157.277589,27.5978,1.101409097,4.227114908,2.374803089
10,EPRICO,EPRICO,PRICO,PVMT,CARIB,18.3229617,-65.33134,4.1148,12.07284978,6.534088025,2,0.04716892,0.008613942,1036.746995,157.277589,27.5978,1.101409097,4.227114908,2.374803089
3,EPRICO,EPRICO,PRICO,SCR,CARIB,18.3226221,-65.244429,18.5928,11.77388875,6.170974857,2,0.04968996,0.00814862,987.0888785,145.3488147,27.4872,1.110524201,4.451974668,2.328463136
5,EPRICO,EPRICO,PRICO,BDRK,CARIB,18.3274534,-65.3303,0.6096,12.07284978,6.534088025,2,0.04716892,0.008613942,1036.746995,157.277589,27.5978,1.101409097,4.227114908,2.374803089
5,EPRICO,EPRICO,PRICO,PVMT,CARIB,18.3502712,-65.320368,22.86,12.05998272,6.507158003,2,0.04709679,0.009027735,1036.746995,157.277589,27.52171,1.105692543,5.859615403,3.494705084
7,EPRICO,EPRICO,PRICO,BDRK,CARIB,18.3536949,-65.357622,15.0876,12.05998272,6.507158003,2,0.05146476,0.009322017,1036.746995,157.277589,27.56853,1.112153766,5.859615403,3.494705084
1.01010101,SWPRICO,SWPRICO,PRICO,PVMT,CARIB,17.8865083,-66.48603,15.0876,13.6421317,8.083299372,1,0.07139726,0.016928408,778.7017511,146.1568918,27.8788,1.128646978,1.701116035,0.471430223
6,EPRICO,EPRICO,PRICO,BDRK,CARIB,18.3569603,-65.363223,15.24,12.23947841,6.665242223,2,0.05146476,0.009322017,1053.602002,163.8119756,27.56853,1.112153766,6.024517146,3.662031367
1.98019802,SWPRICO,SWPRICO,PRICO,PVMT,CARIB,18.1534642,-67.321327,10.5156,13.17331691,7.523451438,0,0.07194636,0.01277478,924.5072943,207.984662,27.95701,1.085151602,2.977993262,1.978549041
5,NPRICO,NPRICO,PRICO,PVMT,CARIB,18.5190915,-67.099023,14.1732,13.43144093,7.729913887,1,0.04282894,0.012359733,782.2606264,129.4917264,27.69732,1.051874517,8.452242667,4.858604538
6.060606061,NPRICO,NPRICO,PRICO,PVMT,CARIB,18.517512,-67.121768,10.668,13.37476588,7.638499376,1,0.04282894,0.012359733,783.8915128,129.3887742,27.69732,1.051874517,8.1820205,4.745535429
0,NPRICO,NPRICO,PRICO,SCR,CARIB,18.5099603,-67.134635,7.1628,13.37476588,7.638499376,1,0.04115747,0.010941344,783.8915128,129.3887742,27.71267,1.04312655,8.1820205,4.745535429
3,NPRICO,NPRICO,PRICO,PVMT,CARIB,18.5078322,-67.147916,14.478,13.37476588,7.638499376,0,0.04115747,0.010941344,783.8915128,129.3887742,27.71267,1.04312655,8.1820205,4.745535429
0,NPRICO,NPRICO,PRICO,AGRF,CARIB,18.4941144,-66.609352,4.572,14.10112399,8.265125075,2,0.04592363,0.016965494,875.7813948,227.0429014,27.14104,1.19485564,0.12351973,0.06211027
0,NPRICO,NPRICO,PRICO,PVMT,CARIB,18.4998084,-67.158892,15.3924,13.41812224,7.659584479,0,0.0432483,0.015119888,870.4095548,270.1532505,27.68555,1.03015824,6.76932621,4.235115699
1,NPRICO,NPRICO,PRICO,BDRK,CARIB,18.488382,-66.927517,5.1816,13.69549654,8.115568016,2,0.04098886,0.017635334,773.6848888,172.9086921,27.08077,1.473374358,9.381111308,5.402054791
0,NPRICO,NPRICO,PRICO,SCR,CARIB,18.4844876,-66.902002,4.4196,13.73737927,8.166777912,2,0.04083098,0.018557748,833.0425212,215.87352,27.21984,1.386652444,9.397892064,5.425131452
1,SWPRICO,SWPRICO,PRICO,SCR,CARIB,17.8892719,-66.192656,23.9268,13.94750502,8.021084425,2,0.05195957,0.011535814,681.2259846,128.6592635,27.87253,1.11754284,2.333543425,0.655897368
6,SWPRICO,SWPRICO,PRICO,PVMT,CARIB,18.3919922,-67.482291,13.1064,12.83442527,6.750008164,0,0.02988907,0.005186521,559.0388832,77.53951217,27.78102,1.039358937,7.807027381,4.701410676
10.78431373,NPRICO,NPRICO,PRICO,SCR,CARIB,18.3879878,-67.228219,16.764,13.44015216,7.762068063,0,0.04507237,0.019271456,883.5241654,296.1015897,27.74452,1.02594688,3.698661561,2.858615784
4.761904762,SWPRICO,SWPRICO,PRICO,PVMT,CARIB,18.389756,-67.48515,10.9728,12.83442527,6.750008164,0,0.02988907,0.005186521,559.0388832,77.53951217,27.78102,1.039358937,7.807027381,4.701410676
56.19047619,SWPRICO,SWPRICO,PRICO,PVMT,CARIB,18.3882986,-67.472386,23.3172,12.83442527,6.750008164,0,0.02988907,0.005186521,559.0388832,77.53951217,27.78102,1.039358937,7.807027381,4.701410676
16,SWPRICO,SWPRICO,PRICO,PVMT,CARIB,18.3869509,-67.473344,16.764,12.83442527,6.750008164,0,0.02988907,0.005186521,559.0388832,77.53951217,27.78102,1.039358937,7.807027381,4.701410676
0,NPRICO,NPRICO,PRICO,SCR,CARIB,18.3839621,-67.232518,14.1732,13.44015216,7.762068063,0,0.04507237,0.019271456,883.5241654,296.1015897,27.74452,1.02594688,3.698661561,2.858615784
20.38834951,SWPRICO,SWPRICO,PRICO,AGRF,CARIB,18.3816357,-67.486641,9.4488,12.83442527,6.750008164,0,0.02988907,0.005186521,559.0388832,77.53951217,27.78102,1.039358937,7.807027381,4.701410676
6,SWPRICO,SWPRICO,PRICO,AGRF,CARIB,18.3816395,-67.487114,11.7348,12.60321992,6.448445729,0,0.02988907,0.005186521,549.5580443,71.61750562,27.78102,1.039358937,8.159424248,4.771845912
17,SWPRICO,SWPRICO,PRICO,AGRF,CARIB,18.3784546,-67.484303,17.8308,12.87617891,6.851971616,0,0.02988907,0.005186521,562.1756775,85.92053816,27.78102,1.039358937,6.900167598,4.185421629
21.78217822,SWPRICO,SWPRICO,PRICO,AGRF,CARIB,18.3779991,-67.483833,24.0792,12.87617891,6.851971616,0,0.02988907,0.005186521,562.1756775,85.92053816,27.78102,1.039358937,6.900167598,4.185421629
25.24271845,SWPRICO,SWPRICO,PRICO,AGRF,CARIB,17.9149073,-66.248848,6.5532,13.89977634,8.058704263,2,0.05264435,0.011644956,688.8198151,116.1379238,27.88116,1.125522545,1.947539714,0.552013089
3.03030303,NPRICO,NPRICO,PRICO,PVMT,CARIB,18.3756154,-67.258153,14.7828,13.37739622,7.71278291,0,0.04159003,0.017771381,778.5574589,210.3284275,27.79339,1.033773186,3.612804969,2.634769062
15.84158416,NPRICO,NPRICO,PRICO,AGRF,CARIB,18.351301,-67.266913,1.8288,13.37739622,7.71278291,0,0.04506449,0.019427918,778.5574589,210.3284275,27.82844,1.033376988,3.612804969,2.634769062
2,NPRICO,NPRICO,PRICO,AGRF,CARIB,18.3513096,-67.267859,3.2004,13.37739622,7.71278291,0,0.04506449,0.019427918,778.5574589,210.3284275,27.82844,1.033376988,3.612804969,2.634769062
8.653846154,NPRICO,NPRICO,PRICO,BDRK,CARIB,18.4945032,-66.399207,11.8872,14.5710084,8.23717917,2,0.05026339,0.024903795,884.2864064,246.3468824,27.08598,1.171307816,0.021828806,0.021805349
1,NPRICO,NPRICO,PRICO,BDRK,CARIB,18.4945162,-66.400153,11.7348,14.5710084,8.23717917,2,0.05026339,0.024903795,884.2864064,246.3468824,27.08598,1.171307816,0.021828806,0.021805349
0.99009901,NPRICO,NPRICO,PRICO,BDRK,CARIB,18.4940453,-66.398741,10.8204,14.5710084,8.23717917,2,0.05026339,0.024903795,884.2864064,246.3468824,27.08598,1.171307816,0.021828806,0.021805349
4.95049505,NPRICO,NPRICO,PRICO,BDRK,CARIB,18.4935091,-66.392596,10.8204,14.5710084,8.23717917,2,0.05026339,0.024903795,884.2864064,246.3468824,27.08598,1.171307816,0.021828806,0.021805349
0,NPRICO,NPRICO,PRICO,AGRF,CARIB,18.4886546,-66.433842,2.1336,14.52841184,8.242051752,2,0.05082948,0.028874487,895.6536622,240.2823139,27.22589,1.218201543,9.663244266,5.575001469
17,NPRICO,NPRICO,PRICO,PVMT,CARIB,18.4840879,-66.332167,9.2964,14.59034509,8.2320669,2,0.05385337,0.025363951,900.2724068,224.0071239,27.41168,1.099037306,9.803482254,5.648760215
6.930693069,EPRICO,EPRICO,PRICO,PVMT,CARIB,18.3768714,-65.560352,10.3632,13.5089854,7.30993317,2,0.05399615,0.010375259,1055.887922,154.4072512,27.45228,1.136968777,4.216309173,2.452804383
1.960784314,SWPRICO,SWPRICO,PRICO,PTRF,CARIB,17.9265787,-66.089251,11.2776,14.21491534,8.092670611,2,0.0752563,0.021485158,662.473581,149.8337218,27.91569,1.170770686,2.395052433,0.684624092
2.941176471,EPRICO,EPRICO,PRICO,PVMT,CARIB,18.3709901,-65.559523,7.9248,13.5089854,7.30993317,2,0.05846618,0.009939819,1055.887922,154.4072512,27.59969,1.219185384,4.216309173,2.452804383
3,EPRICO,EPRICO,PRICO,PVMT,CARIB,18.3638466,-65.538871,7.9248,13.5089854,7.30993317,2,0.05250952,0.008573214,1055.887922,154.4072512,27.58038,1.164108242,4.216309173,2.452804383
3,EPRICO,EPRICO,PRICO,PVMT,CARIB,18.3603967,-65.498298,20.8788,13.15405582,7.159038335,2,0.05099842,0.008354639,1044.670428,157.3954866,27.57659,1.128876433,4.931384121,2.921139974
16.34615385,EPRICO,EPRICO,PRICO,PVMT,CARIB,18.3577759,-65.52765,14.7828,13.15405582,7.159038335,2,0.05250952,0.008573214,1044.670428,157.3954866,27.58038,1.164108242,4.931384121,2.921139974
5.940594059,EPRICO,EPRICO,PRICO,SCR,CARIB,18.3525196,-65.487116,15.5448,13.15405582,7.159038335,2,0.05099842,0.008354639,1044.670428,157.3954866,27.57659,1.128876433,4.931384121,2.921139974
24,EPRICO,EPRICO,PRICO,PVMT,CARIB,18.3535338,-65.567431,16.002,13.5089854,7.30993317,2,0.05846618,0.009939819,1055.887922,154.4072512,27.59969,1.219185384,4.216309173,2.452804383
1,EPRICO,EPRICO,PRICO,AGRF,CARIB,18.3422584,-65.618217,2.7432,14.07284605,7.567772705,2,0.06607907,0.013778715,988.2799269,149.2940818,27.72158,1.292421371,4.136396277,2.538217589
11,EPRICO,EPRICO,PRICO,PVMT,CARIB,18.2764887,-65.474953,17.9832,12.91227918,7.072023928,2,0.05432523,0.009555103,1068.21406,166.5056292,27.66404,1.177791153,3.827275953,2.170565289
3.921568627,EPRICO,EPRICO,PRICO,BDRK,CARIB,18.2617152,-65.606083,4.1148,13.81501043,7.517800445,2,0.07804033,0.015987558,1055.887922,154.4072512,27.76033,1.428248228,1.371801604,0.567185136
0,EPRICO,EPRICO,PRICO,PTRF,CARIB,18.2529185,-65.518407,12.6492,13.15059314,7.248708168,2,0.06923819,0.011177835,1068.21406,166.5056292,27.7125,1.249130898,2.83218567,1.461105582
0,SWPRICO,SWPRICO,PRICO,PTRF,CARIB,17.9361393,-66.06457,11.1252,14.17330527,8.057499822,2,0.06402025,0.015528039,656.4009464,148.9650757,27.89419,1.136825844,2.702317738,0.785307213
14.85148515,NPRICO,NPRICO,PRICO,PVMT,CARIB,18.3495414,-67.272134,12.3444,13.37739622,7.71278291,0,0.04506449,0.019427918,778.5574589,210.3284275,27.82844,1.033376988,3.612804969,2.634769062
0,NPRICO,NPRICO,PRICO,PVMT,CARIB,18.3490338,-67.265989,6.2484,13.37739622,7.71278291,0,0.04506449,0.019427918,778.5574589,210.3284275,27.82844,1.033376988,3.612804969,2.634769062
26,NPRICO,NPRICO,PRICO,PVMT,CARIB,18.3490725,-67.270246,9.2964,13.37739622,7.71278291,0,0.04506449,0.019427918,778.5574589,210.3284275,27.82844,1.033376988,3.612804969,2.634769062
11.76470588,NPRICO,NPRICO,PRICO,PVMT,CARIB,18.34727,-67.270737,14.6304,13.37739622,7.71278291,0,0.04506449,0.019427918,778.5574589,210.3284275,27.82844,1.033376988,3.612804969,2.634769062
18.81188119,NPRICO,NPRICO,PRICO,PVMT,CARIB,18.3459063,-67.269805,11.5824,13.37739622,7.71278291,0,0.04506449,0.019427918,778.5574589,210.3284275,27.82844,1.033376988,3.612804969,2.634769062
4,NPRICO,NPRICO,PRICO,BDRK,CARIB,18.3453814,-67.261768,1.8288,13.37739622,7.71278291,0,0.04506449,0.019427918,778.5574589,210.3284275,27.82844,1.033376988,3.612804969,2.634769062
6,NPRICO,NPRICO,PRICO,SCR,CARIB,18.3145269,-67.246941,15.0876,13.38558266,7.753317119,0,0.05814471,0.023882441,816.2612608,245.7431955,27.78164,1.071003268,2.309215011,1.68069495
0,NPRICO,NPRICO,PRICO,AGRF,CARIB,18.3009627,-67.245659,17.0688,13.38558266,7.753317119,0,0.05814471,0.023882441,816.2612608,245.7431955,27.78164,1.071003268,2.309215011,1.68069495
1,NPRICO,NPRICO,PRICO,AGRF,CARIB,18.2978051,-67.246163,25.2984,13.38558266,7.753317119,0,0.05814471,0.023882441,816.2612608,245.7431955,27.78164,1.071003268,2.309215011,1.68069495
13,NPRICO,NPRICO,PRICO,AGRF,CARIB,18.2927929,-67.241485,12.954,13.40827438,7.781479739,0,0.05814471,0.023882441,935.6398869,277.4839413,27.78164,1.071003268,1.65674908,1.162770593
1.904761905,SWPRICO,SWPRICO,PRICO,AGRF,CARIB,17.9422992,-66.024378,2.5908,14.10742765,8.02271715,2,0.04500967,0.013018141,637.7197813,143.3387307,27.83081,1.127247533,2.922028807,0.846726043
7.547169811,SWPRICO,SWPRICO,PRICO,AGRF,CARIB,18.104076,-67.936017,8.9916,1.791759469,4.083268703,1,0.03003793,0.006204837,565.184401,72.17972417,27.77043,1.093937841,7.943435329,3.42442093
7.142857143,SWPRICO,SWPRICO,PRICO,PVMT,CARIB,18.1009468,-67.942179,16.764,1.791759469,4.083268703,1,0.03003793,0.006204837,565.184401,72.17972417,27.77043,1.093937841,7.943435329,3.42442093
5.940594059,SWPRICO,SWPRICO,PRICO,AGRF,CARIB,18.0905569,-67.942714,8.8392,1.791759469,4.083268703,1,0.03003793,0.006204837,565.184401,72.17972417,27.77043,1.093937841,7.943435329,3.42442093
12,SWPRICO,SWPRICO,PRICO,AGRF,CARIB,18.0887598,-67.944614,9.2964,1.791759469,4.083268703,1,0.03003793,0.006204837,565.184401,72.17972417,27.77043,1.093937841,7.943435329,3.42442093
6.796116505,SWPRICO,SWPRICO,PRICO,PTRF,CARIB,18.0792425,-67.939474,4.4196,1.791759469,4.083268703,1,0.03028429,0.005540758,553.6779665,68.48809335,27.81905,1.035949806,7.919254862,3.387000819
17.64705882,SWPRICO,SWPRICO,PRICO,PTRF,CARIB,18.0787932,-67.939949,5.1816,1.791759469,4.083268703,1,0.03028429,0.005540758,553.6779665,68.48809335,27.81905,1.035949806,7.919254862,3.387000819
9.090909091,SWPRICO,SWPRICO,PRICO,AGRF,CARIB,18.0756819,-67.949417,16.6116,1.791759469,4.083268703,1,0.03028429,0.005540758,553.2361772,67.21382621,27.81905,1.035949806,8.102814949,3.327486661
6.930693069,SWPRICO,SWPRICO,PRICO,SCR,CARIB,18.0752017,-67.944223,15.24,1.791759469,4.083268703,1,0.03028429,0.005540758,553.6779665,68.48809335,27.81905,1.035949806,7.919254862,3.387000819
6,SWPRICO,SWPRICO,PRICO,PVMT,CARIB,18.071019,-67.845038,25.908,1.791759469,4.083268703,1,0.03199642,0.006625708,580.2589954,83.55807105,27.83161,1.047979485,8.027446488,3.339769713
8.653846154,SWPRICO,SWPRICO,PRICO,PVMT,CARIB,18.0679012,-67.852617,13.5636,1.791759469,4.083268703,1,0.03199642,0.006625708,580.2589954,83.55807105,27.83161,1.047979485,8.027446488,3.339769713
21,SWPRICO,SWPRICO,PRICO,PTRF,CARIB,17.9445264,-66.081883,6.2484,14.21491534,8.092670611,2,0.06402025,0.015528039,662.473581,149.8337218,27.89419,1.136825844,2.395052433,0.684624092
1.904761905,SWPRICO,SWPRICO,PRICO,PVMT,CARIB,18.0587675,-67.914088,8.9916,1.791759469,4.083268703,1,0.03154753,0.006648308,553.6779665,68.48809335,27.84003,1.031047526,7.919254862,3.387000819
0,SWPRICO,SWPRICO,PRICO,PVMT,CARIB,18.058289,-67.909366,3.5052,1.791759469,4.083268703,1,0.03154753,0.006648308,553.6779665,68.48809335,27.84003,1.031047526,7.919254862,3.387000819
8,SWPRICO,SWPRICO,PRICO,AGRF,CARIB,18.0566639,-67.86261,12.8016,1.791759469,4.083268703,1,0.03199642,0.006625708,556.0152256,64.29512338,27.83161,1.047979485,7.827767519,3.245420981
4.761904762,SWPRICO,SWPRICO,PRICO,AGRF,CARIB,18.0544158,-67.864514,14.0208,1.791759469,4.083268703,1,0.03199642,0.006625708,556.0152256,64.29512338,27.83161,1.047979485,7.827767519,3.245420981
7,SWPRICO,SWPRICO,PRICO,PVMT,CARIB,18.0519525,-67.907516,16.3068,1.791759469,4.083268703,1,0.03154753,0.006648308,553.6779665,68.48809335,27.84003,1.031047526,7.919254862,3.387000819
7.619047619,SWPRICO,SWPRICO,PRICO,SCR,CARIB,18.0500347,-67.888161,12.8016,1.791759469,4.083268703,1,0.03154753,0.006648308,556.0152256,64.29512338,27.84003,1.031047526,7.827767519,3.245420981
6,EPRICO,EPRICO,PRICO,PTRF,CARIB,18.2013148,-65.509519,16.002,0,7.247740277,2,0.06997214,0.011762993,610.1398296,110.4627133,27.72066,1.236254828,2.445621008,1.241898545
19.41747573,EPRICO,EPRICO,PRICO,PTRF,CARIB,18.1905747,-65.514454,7.3152,0,7.247740277,2,0.06997214,0.011762993,610.1398296,110.4627133,27.72066,1.236254828,2.445621008,1.241898545
13,EPRICO,EPRICO,PRICO,PTRF,CARIB,18.1844959,-65.502773,9.7536,0,7.247740277,2,0.06997214,0.011762993,610.1398296,110.4627133,27.72066,1.236254828,2.445621008,1.241898545
6,EPRICO,EPRICO,PRICO,PTRF,CARIB,18.1799285,-65.52458,10.0584,0,7.247740277,2,0.06997214,0.011762993,610.1398296,110.4627133,27.72066,1.236254828,2.445621008,1.241898545
3,SWPRICO,SWPRICO,PRICO,PVMT,CARIB,17.9489529,-65.987478,21.0312,14.10742765,8.02271715,2,0.03673574,0.010280467,637.7197813,143.3387307,27.80836,1.108136724,2.922028807,0.846726043
12,EPRICO,EPRICO,PRICO,PTRF,CARIB,18.1759967,-65.531739,12.0396,13.35165598,7.400313528,2,0.06997214,0.011762993,609.9234873,109.3699144,27.72066,1.236254828,1.859574059,0.879804964
15.84158416,EPRICO,EPRICO,PRICO,PTRF,CARIB,18.1740705,-65.451055,13.1064,12.88016952,7.077270678,2,0.0453983,0.011273597,617.5287028,108.0654446,27.62547,1.132591718,2.977103149,1.552944866
27,EPRICO,EPRICO,PRICO,PVMT,CARIB,18.173872,-65.464748,7.3152,12.88016952,7.077270678,2,0.05621701,0.011787578,617.5287028,108.0654446,27.66991,1.183586499,2.977103149,1.552944866
4,EPRICO,EPRICO,PRICO,PTRF,CARIB,18.1634535,-65.487143,3.81,13.06059222,7.230282556,2,0.06093279,0.022651269,610.1398296,110.4627133,27.71763,1.265931278,1.896087093,0.99954105
0.99009901,EPRICO,EPRICO,PRICO,AGRF,CARIB,18.1592768,-65.35979,10.0584,11.93801671,6.451824909,2,0.04062748,0.009502631,670.7050154,111.0541717,27.31155,1.339743259,3.301832209,1.209451558
1.98019802,EPRICO,EPRICO,PRICO,AGRF,CARIB,18.1593661,-65.364508,1.8288,12.18671142,6.655274827,2,0.04062748,0.009502631,664.604809,111.7026833,27.31155,1.339743259,3.448811786,1.67285898
11,EPRICO,EPRICO,PRICO,PTRF,CARIB,18.1620568,-65.661833,10.668,14.03690378,7.747971307,2,0.06720979,0.011920403,724.2614365,149.6165534,27.77654,1.179340494,1.018316488,0.231628756
